Status_of_existing_checking_account,Duration_in_month,Credit_history,Purpose,Credit_amount,Savings_account_bonds,Present_employment_since,Installment_rate_in_percentage_of_disposable_income,Personal_status_and_sex,Other_debtors_guarantors,Present_residence_since,Property,Age_in_years,Other_installment_plans,Housing,Number_of_existing_credits_at_this_bank,Job,Number_of_people_being_liable_to_provide_maintenance_for,Telephone,Foreign_worker,Target
0,-1.2364778603818776,4,4,-0.7451314133870967,4,4,0.9184771676276685,2,0,1.0469866784197936,0,2.7664564848025224,2,1,1.0270789116578085,2,-0.4282895663715403,1,0,0
1,2.2481943623946683,2,4,0.9498167893630399,0,2,-0.8701833340815202,1,0,-0.7659772668958666,0,-1.1914039404570154,2,1,-0.7049259983890862,2,-0.4282895663715403,0,0,1
3,-0.738667542842371,4,7,-0.4165624079606273,0,3,-0.8701833340815202,2,0,0.1405047057619635,0,1.1833123146987072,2,1,-0.7049259983890862,1,2.3348689263480744,0,0,0
0,1.7503840448551617,2,3,1.634246939825297,0,3,-0.8701833340815202,2,2,1.0469866784197936,1,0.8315024991200816,2,2,-0.7049259983890862,2,2.3348689263480744,0,0,0
0,0.2569530922366421,3,0,0.5666635047179338,0,2,0.024146916773074168,2,0,1.0469866784197936,3,1.5351221302773328,2,2,1.0270789116578085,2,2.3348689263480744,0,0,1
3,1.2525737273156552,2,7,2.0500090146529657,4,2,-0.8701833340815202,2,0,1.0469866784197936,3,-0.048022039826482336,2,2,-0.7049259983890862,1,2.3348689263480744,1,0,0
3,0.2569530922366421,2,3,-0.1546287563854807,2,4,0.024146916773074168,2,0,1.0469866784197936,1,1.5351221302773328,2,1,-0.7049259983890862,2,-0.4282895663715403,0,0,0
1,1.2525737273156552,2,1,1.3031968307979807,0,2,-0.8701833340815202,2,0,-0.7659772668958666,2,-0.048022039826482336,2,0,-0.7049259983890862,3,-0.4282895663715403,1,0,0
3,-0.738667542842371,2,4,-0.07523344115837269,3,3,-0.8701833340815202,0,0,1.0469866784197936,0,2.238741761434584,2,1,-0.7049259983890862,1,-0.4282895663715403,0,0,0
1,0.7547634097761486,4,0,0.6956808919619843,0,0,0.9184771676276685,3,0,-0.7659772668958666,2,-0.6636892170890771,2,1,1.0270789116578085,3,-0.4282895663715403,0,0,1
1,-0.738667542842371,2,0,-0.7004715485718485,0,1,0.024146916773074168,1,0,-1.6724592395536968,2,-0.9275465787730462,2,0,-0.7049259983890862,2,-0.4282895663715403,0,0,1
0,2.2481943623946683,2,9,0.3674663299070645,0,1,0.024146916773074168,1,0,1.0469866784197936,1,-1.0154990326677027,2,0,-0.7049259983890862,2,-0.4282895663715403,0,0,1
1,-0.738667542842371,2,4,-0.6040629515103602,0,2,-1.7645135849361147,1,0,-1.6724592395536968,2,-1.1914039404570154,2,1,-0.7049259983890862,2,-0.4282895663715403,1,0,0
0,0.2569530922366421,4,0,-0.734498112240609,0,4,0.9184771676276685,2,0,1.0469866784197936,2,2.1507893075399274,2,1,1.0270789116578085,1,-0.4282895663715403,0,0,1
0,-0.4897623840726178,2,0,-0.6621916644444927,0,2,-0.8701833340815202,1,0,1.0469866784197936,2,-0.6636892170890771,2,0,-0.7049259983890862,2,-0.4282895663715403,0,0,0
0,0.2569530922366421,2,4,-0.7050793124019931,1,2,0.9184771676276685,1,0,-0.7659772668958666,2,-0.3118794015104515,2,1,-0.7049259983890862,1,-0.4282895663715403,0,0,1
3,0.2569530922366421,4,4,-0.30030498209236195,4,4,0.9184771676276685,2,0,1.0469866784197936,1,1.5351221302773328,2,1,1.0270789116578085,2,-0.4282895663715403,0,0,0
0,0.7547634097761486,0,9,1.701591180419719,4,1,-0.8701833340815202,2,0,0.1405047057619635,2,-0.9275465787730462,0,1,2.7590838217047033,2,-0.4282895663715403,0,0,0
1,0.2569530922366421,2,1,3.2990674559937188,0,4,0.9184771676276685,1,0,-0.7659772668958666,3,0.7435500452254252,2,2,-0.7049259983890862,3,-0.4282895663715403,1,0,1
3,0.2569530922366421,2,4,0.056265049686524994,2,4,0.024146916773074168,2,0,-0.7659772668958666,2,-0.3998318554051079,2,1,-0.7049259983890862,2,2.3348689263480744,1,0,0
3,-0.9875727016121243,4,0,-0.4030935598417429,0,2,0.9184771676276685,2,0,1.0469866784197936,2,1.0953598608040507,2,1,2.7590838217047033,2,-0.4282895663715403,1,0,0
0,-1.2364778603818776,2,4,-0.22126411023680354,2,2,-0.8701833340815202,2,0,0.1405047057619635,0,0.7435500452254252,2,0,-0.7049259983890862,2,2.3348689263480744,0,0,0
0,-0.9046043153555399,4,0,-0.3651681190859368,0,1,-1.7645135849361147,2,0,0.1405047057619635,0,1.0953598608040507,2,0,1.0270789116578085,1,2.3348689263480744,0,1,0
1,-0.738667542842371,4,1,-0.5200598724531074,1,1,0.024146916773074168,2,0,1.0469866784197936,1,0.7435500452254252,2,1,-0.7049259983890862,2,-0.4282895663715403,0,0,0
3,-0.9046043153555399,4,3,-0.4261323789924662,4,2,-0.8701833340815202,3,0,-1.6724592395536968,2,-0.8395941248783899,2,1,1.0270789116578085,2,-0.4282895663715403,0,1,0
0,-1.2364778603818776,2,3,-0.6724705222194308,0,2,-1.7645135849361147,2,0,-0.7659772668958666,0,0.03993041406817406,0,1,-0.7049259983890862,1,-0.4282895663715403,1,0,0
3,-1.2364778603818776,0,4,-1.0084828384484417,0,4,0.9184771676276685,3,0,1.0469866784197936,2,0.3037877757521432,2,1,-0.7049259983890862,1,-0.4282895663715403,0,0,0
2,-0.738667542842371,1,4,-1.0145083757647846,3,2,0.024146916773074168,1,0,0.1405047057619635,0,0.5676451374361124,2,0,1.0270789116578085,2,-0.4282895663715403,0,0,0
1,-1.1535094741252931,2,4,-0.3034949724363083,0,2,0.024146916773074168,2,2,-0.7659772668958666,0,-0.13597449372113873,2,1,-0.7049259983890862,2,-0.4282895663715403,0,0,0
0,3.2438149974736814,3,9,1.2634991731844265,0,4,0.024146916773074168,2,0,1.0469866784197936,3,2.4146466692238966,2,1,1.0270789116578085,2,-0.4282895663715403,1,0,1
1,-0.2408572253028645,2,9,-0.48142554495420214,3,1,0.024146916773074168,3,0,0.1405047057619635,0,0.03993041406817406,0,1,-0.7049259983890862,2,-0.4282895663715403,1,0,0
0,0.2569530922366421,2,3,0.26538663890078273,0,2,-0.8701833340815202,2,0,-0.7659772668958666,2,-0.7516416709837335,1,1,-0.7049259983890862,2,-0.4282895663715403,0,0,0
1,-0.2408572253028645,2,0,0.9196891027813249,1,2,-0.8701833340815202,2,0,-0.7659772668958666,2,-0.4877843092997643,2,1,1.0270789116578085,2,-0.4282895663715403,1,0,0
3,-0.738667542842371,4,9,-0.7114592930898858,4,4,0.9184771676276685,2,0,1.0469866784197936,3,1.8869319458559584,2,0,-0.7049259983890862,1,-0.4282895663715403,0,0,0
2,-0.738667542842371,2,3,-0.637026185064472,0,1,0.9184771676276685,1,0,-1.6724592395536968,1,-0.22392694761579512,0,1,-0.7049259983890862,3,-0.4282895663715403,1,0,0
1,1.999289203624915,4,4,0.5227125266457847,0,1,0.9184771676276685,2,0,-0.7659772668958666,1,-0.9275465787730462,2,1,1.0270789116578085,1,-0.4282895663715403,0,0,1
3,2.2481943623946683,4,7,1.0061732854394247,0,2,-1.7645135849361147,2,0,0.1405047057619635,3,-0.3998318554051079,0,2,-0.7049259983890862,2,-0.4282895663715403,1,0,0
2,-0.2408572253028645,2,4,-0.41514463447442895,0,2,0.9184771676276685,2,1,-0.7659772668958666,0,0.12788286796283044,1,1,-0.7049259983890862,2,-0.4282895663715403,0,0,1
2,-0.9046043153555399,2,5,-0.7252825845803197,0,2,-0.8701833340815202,2,0,-0.7659772668958666,2,0.12788286796283044,2,1,-0.7049259983890862,2,-0.4282895663715403,1,0,0
